date_l,0,1,2,3,4,5,6,7,8,9,sleep_score
12-03-2020,-237164.0947,-32.75396169,-95.30973488,-56.3122112,-48.33131468,-12.36537137,-42.84752218,-0.957037515,4.371296023,-2.392463005,64
13-03-2020,-326780.8258,-13.2732948,-89.63480871,63.71447738,-58.6087893,-8.276360933,21.08644349,-5.992660207,8.371543763,33.01808935,82
14-03-2020,-210838.6008,1083.703488,-24.49293703,146.1567416,25.75962233,33.16416969,-19.7269608,-57.4012611,-12.32453618,18.77487956,76
15-03-2020,-237309.8052,-137.8465348,-56.84123326,-83.35959596,-82.18522773,-35.18424651,-34.13911356,1.713267451,-14.01451846,19.22973328,64
16-03-2020,-468395.4028,104.0670741,-72.24936486,-14.43275314,-57.44867083,-49.47264655,-28.85301728,-40.70632006,3.978261755,-19.99584648,76
17-03-2020,-386275.1079,72.93918239,-150.9899737,36.90894005,341.7906538,114.6838774,34.77892998,-114.1523,-26.433658,-7.938599106,76
18-03-2020,-511703.7194,123.9538348,-57.44995703,74.5899088,5.616105124,-76.81362595,30.55243688,-49.67168748,-3.187909921,7.444155973,81
19-03-2020,-361985.0374,-30.02398568,74.45927221,-49.52692325,-27.6481764,-30.01642297,-20.54884624,-10.29741399,2.931857069,-10.80263583,74
20-03-2020,-448292.8391,98.76617144,-78.08022349,-33.8665406,-72.5459549,-40.67149842,15.64459975,-2.937258941,-11.13780297,-5.643346836,72
21-03-2020,155024.9087,-180.0990746,-83.03575544,47.75144227,-27.64141094,-2.279869857,-26.7986461,-25.23109014,-19.91815659,0.937745582,74
22-03-2020,-646317.5082,135.3386467,91.17111071,27.58659509,106.2764503,10.48525265,40.07012572,-47.52961562,-4.519121392,-11.64945256,74
23-03-2020,-552589.7833,136.1421778,28.24429034,26.44469848,-35.74619299,-57.8386025,29.13026742,-29.35464939,-1.97647768,-1.85629274,73
24-03-2020,-589639.6468,148.3470034,29.76270121,127.2992224,-1.483227204,-54.96448149,34.40909267,-35.50471895,-4.097616623,-10.13457641,76
25-03-2020,-292026.6856,25.40648961,-39.4654303,-5.86959428,-56.0626752,-40.14977456,27.7246067,-6.877256972,0.415591878,22.19242717,71
26-03-2020,-434067.5547,80.99989362,99.79103835,60.44697945,23.60894674,-90.13581309,-0.220097418,-61.45169148,7.875471993,7.314093144,76
27-03-2020,-106580.9983,-165.6547665,-101.8847644,-88.42620102,-103.8849121,-70.99696161,6.866185975,8.436936164,-12.6839851,22.090879,72
28-03-2020,297789.3366,-261.0487938,-96.28002116,-45.682472,8.734015268,-55.18630505,57.82711662,-28.55844059,23.03434898,-32.71972064,67
29-03-2020,-487655.9487,115.6314479,-92.51684225,25.1784478,-3.992929267,-36.43142122,-29.37678504,-33.08479872,4.03271698,7.126723296,62
30-03-2020,-644499.9314,176.4846063,9.111618064,43.5850155,-50.15785217,-35.88183956,27.1376227,-11.79814028,-0.539791215,-13.88115809,78
31-03-2020,-281926.6491,-75.37896175,-69.07639378,-93.69944349,33.50551057,-41.35155536,50.03990711,-5.945374728,-9.903249969,0.334990946,71.63333333
