0,1,2,3,4,5,6,7,8,9,sleep_score
106891.06,148.45154,105.69974,-68.59909,58.575806,0.60910034,14.44458,7.0429,3.2972603,-3.0090485,67.246735
352856.88,255.81445,93.76221,-70.39053,86.12723,25.16777,34.91349,45.113205,16.309635,-17.22194,68.30286
-205114.69,-211.8888,-180.64238,151.72574,-39.273376,101.102646,-48.650944,-10.099846,-10.830391,-7.182564,75.51823
-82517.375,-307.38788,-161.97421,-127.119934,-70.13483,-141.6467,-43.994102,-36.777023,-12.729401,28.208931,75.91243
452327.62,324.14008,152.08328,-110.50073,137.02068,18.592178,64.489815,60.64746,25.99416,-24.699202,66.75823
23751.0,79.0025,24.42575,63.556,46.733566,18.095856,12.482132,10.423935,5.179676,-1.4007683,69.67728
-403623.53,-383.30023,-252.60132,151.8486,-87.19931,-17.667786,-71.99729,-54.106792,-26.747612,24.224892,78.1496
-143858.19,-67.102234,-25.64746,110.003204,11.974991,33.584015,-10.837326,-9.868797,-3.6703606,5.92284,71.22278
-36044.438,-19.179138,1.3783264,-32.087463,3.7090302,-25.465729,-11.824402,-12.247314,-5.716408,6.660591,71.14603
352698.94,154.31055,40.717712,-47.09488,85.629486,41.63211,34.096413,51.905655,21.322018,-22.538374,70.360016
-50006.688,-21.513123,-48.030243,-25.773743,2.6353912,-29.654114,-11.268028,-7.646515,-3.729576,9.5299835,71.57154
50674.188,80.56976,176.76291,-179.52768,68.03888,-146.95673,35.51699,-19.111237,4.594219,17.22512,66.80481
-211790.22,-49.104492,26.382812,79.8649,10.07312,-64.00008,-7.7825775,-31.449272,-6.7171555,12.848335,69.5179
-196398.25,-247.60287,-223.94281,201.35452,-41.065536,44.27591,-35.720818,-3.0010834,-3.1030006,-4.977684,75.58812
481105.88,46.276123,-77.255035,-100.29648,46.239243,80.906265,18.082321,75.47206,23.284542,-31.98173,72.622025
191939.69,47.59967,-49.351593,57.2753,42.78502,145.58241,-4.344658,49.117172,10.110943,-28.247166,71.75189
-260509.38,-103.19983,88.28522,-56.404327,-12.752312,-125.67173,-9.114174,-50.54559,-15.407593,26.261703,65.3695
-275844.75,-132.57086,60.015625,-56.53543,-25.363533,-100.22661,-29.717247,-53.6808,-20.845112,29.451042,68.953896
161982.62,-279.59543,-238.7335,-66.388,-59.153023,-93.88032,-32.63124,13.023117,5.120228,-0.51795197,78.63388
-369612.47,-366.56277,-251.21309,268.54062,-81.16574,120.178024,-75.8515,-35.296227,-23.32632,-3.5799065,77.65236
-162279.66,99.97748,112.20993,14.380249,74.01524,-96.05583,34.82908,-21.642197,2.043335,15.776199,66.88975
423623.75,78.71753,70.529785,-142.28647,57.56108,-21.99002,22.51072,42.163834,18.535465,-19.129353,70.654366
-9944.125,-81.76944,33.17227,-119.0376,21.056335,-136.63834,-0.52565765,-23.316292,1.8636093,12.182434,71.7634
-275412.66,-275.69995,-195.8709,119.20047,-54.027946,32.389572,-55.452522,-30.165695,-16.424458,5.343479,76.80644
101884.19,168.97693,174.78647,-142.48547,80.161514,-122.1385,44.77874,-8.010834,7.4523964,10.601906,65.24679
-55175.562,-12.313232,95.33737,-125.22983,65.203186,-138.15392,27.835732,-21.578262,3.573452,15.385773,68.07633
299538.56,-209.42203,-178.5536,-164.90991,-28.28891,-77.840996,-15.182655,25.991043,6.601948,-6.3459206,75.62072
-198756.28,-119.58121,7.9631653,-33.178467,-14.63723,-68.98413,-23.223991,-37.494865,-13.304161,21.545837,69.936295
140105.31,-52.302185,-28.169952,-53.59561,19.995316,-14.239395,-7.3118896,10.818703,6.055546,-10.825394,71.95776
159101.44,136.01318,58.73633,-43.211517,109.85617,-24.99324,51.839424,28.970627,16.430866,-12.586517,68.415146
-451372.84,-338.9651,-141.59781,113.42587,-82.24891,-47.53763,-70.549515,-70.6099,-33.97139,32.913383,74.22364
297417.75,-101.69537,-141.84067,-61.311707,-27.53386,46.907913,-25.409248,32.44818,4.4707603,-13.240223,73.83693
-128215.125,-127.28,-70.36545,-38.581573,-28.644981,-88.75248,-24.565872,-26.80777,-6.8739853,22.23236,72.56483
-28498.938,291.87878,248.71274,-31.071533,143.07155,-59.27928,63.22686,-3.9824448,7.246929,3.9678955,63.016666
146277.19,135.26068,27.894562,-14.400513,73.65283,32.270508,29.360924,27.374237,11.114941,-8.239162,69.52507
-122790.41,-310.57306,-135.87924,-158.68088,-70.88172,-158.0201,-43.146797,-46.25357,-16.501663,32.502373,73.79527
16411.5,156.04742,40.88083,38.90634,96.775635,6.3450623,44.947853,19.24887,10.654713,-5.091263,67.633026
190045.88,111.62799,32.3248,-113.53717,70.98021,-84.761406,36.37359,18.037521,13.665203,2.1183815,69.50946
286032.88,16.200562,-107.235504,-107.058136,3.9976654,-43.53734,8.190758,34.17099,9.837162,-2.2417603,72.0857
445164.62,-90.48978,-112.004425,-116.210754,-1.1577759,22.787827,-1.0588913,50.0551,15.752499,-19.503016,73.67169
305720.3,344.8996,172.39804,-125.43552,137.46266,-65.62247,72.59867,32.231644,21.400005,-4.2955704,65.770226
184867.38,295.40356,189.26279,-70.78305,159.52342,-48.396835,70.95544,25.262558,18.360966,-10.88921,65.96701
-105054.625,11.724609,46.414703,-23.353668,28.050507,-70.921646,11.639351,-19.092209,-2.5173454,20.167091,68.7395
40782.062,-125.7742,-156.18056,145.65115,-20.304352,152.91304,-39.18818,33.1494,1.6286697,-25.678787,75.00864
99978.31,87.65558,93.10397,-105.12167,66.32872,-79.359,31.541466,1.7434006,7.184643,-0.1634903,67.386955
-191399.03,7.8255615,121.41678,-103.538605,17.47226,-119.67316,-3.5488892,-42.09597,-11.176907,26.28328,67.45385
-112810.25,-81.754456,-3.7904663,61.7894,39.279327,-22.532104,-1.2967453,-8.048981,0.56433105,-6.632759,71.54963
-254204.84,-128.96204,-69.41812,143.82816,14.939255,65.85643,-23.432236,-14.112785,-7.511654,-3.6297874,71.969795
-93156.75,107.07764,210.23691,-121.67609,34.67537,-83.84643,4.676552,-32.884483,-11.185486,18.912926,64.92333
36593.625,142.61523,124.618866,-56.87912,81.48544,-71.73682,39.07229,-2.292099,7.283329,10.468552,67.53678
-435661.47,-279.17508,-124.39841,129.6058,-60.16163,-70.307144,-56.143005,-63.23904,-24.720951,27.182594,73.28551
-68931.31,-91.69949,52.094574,-106.023224,12.024567,-93.70562,-10.6466675,-27.29113,-5.6050262,12.922173,69.65326
-159904.38,-68.89264,-76.346466,108.103485,23.966812,46.497482,-11.849541,-0.32704163,-0.5199814,-2.4953003,72.76857
57505.5,-264.54147,-208.46988,16.498077,-44.451736,-1.6475677,-33.214996,12.981407,4.166317,-3.9565735,77.60047
-99951.19,31.366821,54.576935,24.831757,42.368637,-63.0092,15.25312,-15.578865,0.31469345,10.716328,68.95308
187627.38,-27.649048,-92.98068,68.24362,7.098465,104.44139,-7.4728165,39.40161,9.396702,-17.285717,72.69319
-193013.88,-264.92352,-195.03983,143.6932,-42.627533,95.88695,-54.566105,-9.644066,-9.948875,-11.210224,77.11631
104619.81,266.98114,272.7606,-124.00244,98.8071,-92.67379,49.3272,-6.419533,4.099949,8.272831,63.485207
-273571.66,-252.84894,-61.887085,-55.54248,-45.885773,-148.84285,-36.6483,-54.86355,-14.951057,30.96025,73.22039
37291.688,24.270203,2.942566,-2.8397522,71.379974,-23.921387,18.146347,13.421799,9.889576,-13.381306,71.153946
-377961.9,-314.503,-129.13773,94.17349,-58.611267,-84.164474,-47.255665,-56.97312,-22.401447,27.641457,72.89544
265910.2,439.90192,212.7656,-69.99628,159.27403,41.209854,63.805107,40.83754,19.137371,-13.7108,64.91293
-119109.94,-182.99991,-139.2609,16.269897,-49.483727,25.204315,-43.312958,-16.264313,-13.928318,11.303886,73.621956
154059.81,31.193542,-79.687744,6.5848083,35.27063,17.112076,21.1446,33.1512,13.589237,-9.44257,71.16568
-57054.625,-42.501892,-48.625244,107.188995,0.39123535,87.07356,-14.93129,2.8100357,-4.3823624,-0.7342911,70.43797
239188.31,401.5921,299.3251,-126.91147,168.70137,-62.018265,72.977486,18.671707,16.056316,-6.7906914,63.579575
59942.625,70.37976,139.3649,-158.19022,34.854813,-134.99707,20.708015,-20.083984,-0.2596016,21.036705,67.23151
441978.0,149.8252,-30.120667,-89.93359,83.01524,-4.931717,48.876152,67.697586,28.677593,-20.82348,70.70297
218477.62,76.29553,-32.98694,-34.993683,80.69693,-6.879059,39.54061,42.943695,19.207027,-17.407246,71.39511
112013.875,-138.8736,-183.57907,76.25418,0.990036,130.1775,-21.339241,46.731155,10.397999,-29.199818,75.46689
-50957.375,-195.8526,-102.78458,-39.16031,-30.342117,-96.47302,-27.845848,-22.94545,-4.278595,6.2365837,73.31738
26806.062,-210.61746,-183.62257,78.801605,-39.201134,136.61232,-50.38532,18.22818,-4.026039,-24.554909,76.08279
-14844.375,255.76636,103.57504,-12.436523,93.04245,-35.47374,48.346077,6.875519,6.993908,7.2588882,65.74005
-135843.25,-64.885254,63.1593,-118.44638,7.4793854,-123.44961,-6.637314,-36.98906,-8.405876,25.165482,69.036865
328053.12,70.34979,9.164215,0.69226074,30.891937,80.54472,4.23999,47.982544,13.653378,-20.604004,70.808304
-311985.66,-127.454926,-18.942871,62.436615,-9.5690155,-88.176476,-15.24633,-44.281807,-12.448082,22.122887,69.21872
258918.62,409.3324,223.85776,-93.26358,111.30481,0.24438477,54.587074,25.008743,11.2437935,-4.887703,63.77408
-376921.16,-300.8243,-129.58182,175.49356,-64.84858,41.38153,-63.625717,-50.252277,-24.977776,18.319832,74.95275
-352111.75,-166.18774,-123.46912,139.58444,-14.818611,-4.106201,-29.34224,-31.59819,-11.537617,16.746239,72.80058
-209811.28,-8.726074,21.33899,121.65854,34.347046,66.90703,-14.967995,-13.98307,-8.735802,-5.9463654,69.453926
-15054.375,95.28174,143.26852,-133.1659,66.45947,-63.273727,12.77211,-14.769264,-2.18441,9.658691,67.58541
105635.69,-112.28229,-157.91075,-0.34265137,5.1483154,-12.219482,2.4388504,26.276184,11.193874,-7.9380493,73.673645
